Record ID,AuthorName,nRetracted,FirstRetractionYear,OffenseSameYear
25214,3236a65c697b6231a3164f1f6f94e5d17e6c616d96eb39f10d4546a78768255e,3,2020,True
25101,3236a65c697b6231a3164f1f6f94e5d17e6c616d96eb39f10d4546a78768255e,3,2020,True
25083,3236a65c697b6231a3164f1f6f94e5d17e6c616d96eb39f10d4546a78768255e,3,2020,True
17742,843f7c59ee5bda3802ff0bf531823767610e3e810bbff459914a3a30fa335bfe,2,2015,True
17766,843f7c59ee5bda3802ff0bf531823767610e3e810bbff459914a3a30fa335bfe,2,2015,True
4541,486d1027124352060be5570fc0943dd7233bdbeb97651a23d3eb68f4d9f6fbbe,2,2009,True
4630,486d1027124352060be5570fc0943dd7233bdbeb97651a23d3eb68f4d9f6fbbe,2,2009,True
4036,f5c59b00b2b314749a3898c048b42dab0a06d01260d4098137790e9621a45c7c,2,2010,True
1050,f5c59b00b2b314749a3898c048b42dab0a06d01260d4098137790e9621a45c7c,2,2010,True
20611,d1b7f0967d5e74ed4adb01c94ad71b6721d6fb568d26262ede345a2a0264ef45,2,2018,True
21523,d1b7f0967d5e74ed4adb01c94ad71b6721d6fb568d26262ede345a2a0264ef45,2,2018,True
25122,090eefa0e396b6cecdb278468672d6125e857c4d12d1e74ad0d5e43c01b143a3,2,2020,True
25121,090eefa0e396b6cecdb278468672d6125e857c4d12d1e74ad0d5e43c01b143a3,2,2020,True
4790,e8ea33b4e72ac0cf58efc4bd62797865640123fe581b987fcaa6591de6dcd03c,2,2015,True
4789,e8ea33b4e72ac0cf58efc4bd62797865640123fe581b987fcaa6591de6dcd03c,2,2015,True
18288,37cbf8fac9b92cd20b6ae52fa9023b4dcf320db4bfa4db301cb3d49613b96706,3,2018,True
18287,37cbf8fac9b92cd20b6ae52fa9023b4dcf320db4bfa4db301cb3d49613b96706,3,2018,True
18289,37cbf8fac9b92cd20b6ae52fa9023b4dcf320db4bfa4db301cb3d49613b96706,3,2018,True
7869,ef060857a8d8ccfde9f7c76d430a6b9f737adcdfaa19abaa1dc32d8923f6c215,2,2008,True
7871,ef060857a8d8ccfde9f7c76d430a6b9f737adcdfaa19abaa1dc32d8923f6c215,2,2008,True
20571,ea1db9ef229bcad9436d622ff4fb7af08830391ce78375251752835e9ff3ecbb,2,2019,True
20570,ea1db9ef229bcad9436d622ff4fb7af08830391ce78375251752835e9ff3ecbb,2,2019,True
25215,be27af9eb6b351a24d2313f9bd6ce90cef9bdcbe48a923af036e31e7b920db8a,4,2020,True
25216,be27af9eb6b351a24d2313f9bd6ce90cef9bdcbe48a923af036e31e7b920db8a,4,2020,True
25214,be27af9eb6b351a24d2313f9bd6ce90cef9bdcbe48a923af036e31e7b920db8a,4,2020,True
25083,be27af9eb6b351a24d2313f9bd6ce90cef9bdcbe48a923af036e31e7b920db8a,4,2020,True
