MAGAID,MatchMAGAID,Record ID,MAGPID,RetractionYear,MAGRetractionYearAffID,MAGRetractionYearAffRank,MAGRetractionYearAffYear,MatchMAGRetractionYearAffID,MatchMAGRetractionYearAffYear,MatchMAGRetractionYearAffRank,MatchMAGMaxRetractionYear,MAGrootFID,MAGrootFIDMaxPercent,MatchMAGrootFID,MatchMAGrootFIDMaxPercent,GenderizeGender,MAGFirstPubYear,MAGFirstAffID,MAGFirstAffiliationRank,MatchMAGFirstAffID,MatchMAGFirstAffYear,MatchMAGFirstAffiliationRank,MAGCumPapersAtRetraction,MAGCumPapersYearAtRetraction,MatchMAGCumPapersYearAtRetraction,MatchMAGCumPapersAtRetraction,MAGCumCitationsAtRetraction,MAGCumCitationsYearAtRetraction,MatchMAGCumCitationsYearAtRetraction,MatchMAGCumCitationsAtRetraction,MAGCumCollaboratorsAtRetraction,MAGCumCollaboratorsYearAtRetraction,MatchMAGCumCollaboratorsYearAtRetraction,MatchMAGCumCollaboratorsAtRetraction,MAGRetractionYearAffRankOrdinal,ReasonPropagatedMajorityOfMajority,DemiDecadeOfRetraction,MAGAIDFirstORLastAuthorFlag,RetractorMajority,AcademicAgeBeforeRetraction,AcademicAgeBin,MAGFieldName,MAGRetractionYearAffRankStratified,NumRetentionW5,NumNewCollaboratorsW5,NumOpenTriads,NumTriadsClosed,NC,OriginalPaperYear,AltmetricScoreAtRetraction,DifferencePublicationAndRetractionYear,DifferencePublicationAndRetractionYearCategorical,AttentionCategorical
64b96759f879ef1dbe109cf51cb22f6342dc118877b88cbd70e9b9384b7bf652,bc0e6f56d6b044b9e1944b95bd06ac9abb5161a5057d3db645e437e28d56a07c,cd40a98a273391874740967ae65741c8321df49325e1a9efc8d859e0dc157b78,1419a737b7719d8674d3b5e02772ddd2f25985772096583a4ab4ae72ed25c033,2008.0,861853513.0,151-200,2008.0,881766915.0,2008.0,151-200,2008.0,86803240.0,0.375,86803240.0,0.3333333333333333,female,2006.0,861853513.0,151-200,881766915.0,2007.0,151-200,7.0,2008.0,2008.0,7.0,6.0,2008.0,2008.0,6.0,22.0,2008.0,2008.0,23.0,175.0,other,2006-2010,MAGMiddleAuthor,other retractor,2.0,2,biology,101-500,8,10,33,0,0.0,2008.0,0.0,0.0,0-1 year,low
64b96759f879ef1dbe109cf51cb22f6342dc118877b88cbd70e9b9384b7bf652,9827f47bcebe503cc6c0a44370c1149b2cda9408893135b83fbb55ae3b82376b,cd40a98a273391874740967ae65741c8321df49325e1a9efc8d859e0dc157b78,1419a737b7719d8674d3b5e02772ddd2f25985772096583a4ab4ae72ed25c033,2008.0,861853513.0,151-200,2008.0,205349734.0,2008.0,151-200,2008.0,86803240.0,0.375,86803240.0,0.375,female,2006.0,861853513.0,151-200,205349734.0,2006.0,151-200,7.0,2008.0,2008.0,7.0,6.0,2008.0,2008.0,6.0,22.0,2008.0,2008.0,21.0,175.0,other,2006-2010,MAGMiddleAuthor,other retractor,2.0,2,biology,101-500,4,34,28,0,0.0,2008.0,0.0,0.0,0-1 year,low
ad62fc0b6017cf7431866808acb1eb5042c958ace6a960c22ebe773158166323,b35ec83726eb8a0647e8d663e66edae61483353fee12d98e0c795549caa049ce,b0c1610968c9c7e3849286fd3edb490169069aece37471cde6483d06ad475765,a669f32973eddc1a320ee63d1c6dbde7ce3a1eddbe19a6b0250a55ae0e326501,2012.0,13955877.0,401-500,2012.0,185443292.0,2011.0,401-500,2011.0,86803240.0,0.3333333333333333,86803240.0,0.375,female,2007.0,13955877.0,401-500,185443292.0,2007.0,401-500,3.0,2012.0,2011.0,3.0,18.0,2012.0,2012.0,18.0,16.0,2012.0,2011.0,15.0,450.0,mistake,2011-2015,MAGMiddleAuthor,author,5.0,3-5,biology,101-500,3,11,1,0,0.0,2007.0,5.5,5.0,2-5 years,low
ad62fc0b6017cf7431866808acb1eb5042c958ace6a960c22ebe773158166323,b35ec83726eb8a0647e8d663e66edae61483353fee12d98e0c795549caa049ce,b0c1610968c9c7e3849286fd3edb490169069aece37471cde6483d06ad475765,a669f32973eddc1a320ee63d1c6dbde7ce3a1eddbe19a6b0250a55ae0e326501,2012.0,13955877.0,401-500,2012.0,185443292.0,2011.0,401-500,2011.0,185592680.0,0.3333333333333333,185592680.0,0.375,female,2007.0,13955877.0,401-500,185443292.0,2007.0,401-500,3.0,2012.0,2011.0,3.0,18.0,2012.0,2012.0,18.0,16.0,2012.0,2011.0,15.0,450.0,mistake,2011-2015,MAGMiddleAuthor,author,5.0,3-5,chemistry,101-500,3,11,1,0,0.0,2007.0,5.5,5.0,2-5 years,low
7627b95fc850d258d45e8335aaa080d19ce7e596521540934f264e6e0b4945c0,93c70a769f8bfebd3e1ad5eea52be7994755dccc3399f7eb16d3ad14d36a84f7,6f2abca3552e765d5a8dfd8c5ded2aa22e53b86a7363f928000133e218360ea0,79397517a345fbc8bd987105b416e80bdef3f2a64ae95e8edaa52781e53e3a21,2015.0,126744593.0,201-300,2015.0,100532134.0,2015.0,201-300,2015.0,86803240.0,0.2972972972972973,86803240.0,0.3513513513513513,male,2010.0,126744593.0,201-300,100532134.0,2011.0,201-300,12.0,2015.0,2015.0,11.0,183.0,2015.0,2015.0,187.0,39.0,2015.0,2015.0,38.0,250.0,misconduct,2011-2015,MAGMiddleAuthor,author,5.0,3-5,biology,101-500,7,11,38,0,0.0,2012.0,10.0,3.0,2-5 years,low
a14373d9e96d978bcb7da07827511a3c51e8296b42b94ccb434e2c14753781d7,82ade64e4224ba6989045e393dbf9b329a50e03c29aa8c088a3631970d3d2133,8655b8b588b608415bede34f7c8f4c2167123f176b8dbad5b2214a4771b11024,100700ecb9d27e68107112a07f02c69dd1aceb5eefd21fbe44d2909a3f78ab8a,2014.0,158248296.0,501-600,2014.0,99041443.0,2014.0,501-600,2014.0,86803240.0,0.1969696969696969,86803240.0,0.4193548387096774,male,2010.0,158248296.0,501-600,99041443.0,2011.0,501-600,13.0,2014.0,2014.0,13.0,40.0,2014.0,2014.0,37.0,19.0,2014.0,2012.0,18.0,550.0,plagiarism,2011-2015,MAGFirstOrLastAuthor,other retractor,4.0,3-5,biology,501-1000,4,0,29,0,0.0,2014.0,0.0,0.0,0-1 year,low
ddf6df697568a89aee7cfe7d55f4642465841567c6518172cbb50f6ecd8eb319,c1d97f3f212eb906ac39a77aa064cf7b3381754df3e4b68702f20f5ec3aa0d0c,25be3226a4910c918499d4c2323946e2cdb0f90d64b4a1502655d7fb10ea706f,0bfb771e30865d9acb5bbe07708fdca65c793e7b9d4ae39875a577cc45930b09,2011.0,182212641.0,901-1000,2010.0,141595442.0,2011.0,901-1000,2011.0,86803240.0,0.28,86803240.0,0.1851851851851851,male,2001.0,182212641.0,901-1000,141595442.0,2001.0,901-1000,16.0,2010.0,2011.0,17.0,123.0,2011.0,2011.0,126.0,41.0,2010.0,2011.0,45.0,950.0,mistake,2011-2015,MAGMiddleAuthor,other retractor,10.0,>5,biology,501-1000,11,33,87,0,0.0,2010.0,10.0,1.0,0-1 year,low
a5498102bb09401e3084f58626c921d1a898c1bd6c9e81440e6ceb5aed75eafa,7b93d433d040f0679bbf63a87fc08ed026ff95e45f39c4e490abe6fbb24c8e23,741691a4288cb2106cb95a401ffc2cff968274ac49c26c65b8e201263ca61df6,f2f0f56cb88f61886dfc5cfdeef7963313cc5ef97bd965cb31e0071df6582a3b,2007.0,201448701.0,14,2007.0,201448701.0,2007.0,14,2007.0,86803240.0,0.3333333333333333,86803240.0,0.35,male,2005.0,201448701.0,14,201448701.0,2005.0,14,7.0,2007.0,2007.0,7.0,19.0,2007.0,2007.0,20.0,16.0,2007.0,2007.0,16.0,14.0,mistake,2006-2010,MAGFirstOrLastAuthor,author,2.0,2,biology,1-100,3,22,296,3,0.0101351351351351,2007.0,0.0,0.0,0-1 year,low
a5498102bb09401e3084f58626c921d1a898c1bd6c9e81440e6ceb5aed75eafa,7b93d433d040f0679bbf63a87fc08ed026ff95e45f39c4e490abe6fbb24c8e23,741691a4288cb2106cb95a401ffc2cff968274ac49c26c65b8e201263ca61df6,f2f0f56cb88f61886dfc5cfdeef7963313cc5ef97bd965cb31e0071df6582a3b,2007.0,201448701.0,14,2007.0,201448701.0,2007.0,14,2007.0,185592680.0,0.3333333333333333,185592680.0,0.35,male,2005.0,201448701.0,14,201448701.0,2005.0,14,7.0,2007.0,2007.0,7.0,19.0,2007.0,2007.0,20.0,16.0,2007.0,2007.0,16.0,14.0,mistake,2006-2010,MAGFirstOrLastAuthor,author,2.0,2,chemistry,1-100,3,22,296,3,0.0101351351351351,2007.0,0.0,0.0,0-1 year,low
4f1a1d5dde42e42f2b14e3a9a6e7f7112233a52db9f23d39180fc690e463eb32,417387377377914f72dd690d4bb7a69ea9bbdbbb53421a2b21d0309bcbc83e64,8bc8ee934f48bc540aa8d07744e6bbff6d338f2246d40299701ae73af730c56e,ab3aa939da4d8f084f2fe86f8d0613c22e8eb961da4bc73dca28af63e31318d8,2012.0,66514158.0,701-800,2012.0,91656880.0,2011.0,701-800,2011.0,86803240.0,0.2,86803240.0,0.2222222222222222,female,2011.0,66514158.0,701-800,91656880.0,2011.0,701-800,3.0,2012.0,2011.0,3.0,1.0,2012.0,2011.0,1.0,17.0,2012.0,2011.0,16.0,750.0,mistake,2011-2015,MAGFirstOrLastAuthor,other retractor,1.0,1,biology,501-1000,3,3,23,0,0.0,2011.0,5.0,1.0,0-1 year,low
