MAGAID,Record ID,MAGPID,RetractionYear,MAGRetractionYearAffID,MAGRetractionYearAffRank,MAGRetractionYearAffYear,MAGrootFID,MAGrootFIDMaxPercent,GenderizeGender,MAGFirstPubYear,MAGFirstAffID,MAGFirstAffiliationRank,MAGCumPapersAtRetraction,MAGCumPapersYearAtRetraction,MAGCumCitationsAtRetraction,MAGCumCitationsYearAtRetraction,MAGCumCollaboratorsAtRetraction,MAGCumCollaboratorsYearAtRetraction,MAGRetractionYearAffRankOrdinal,ReasonPropagatedMajorityOfMajority,DemiDecadeOfRetraction,MAGAIDFirstORLastAuthorFlag,RetractorMajority,AcademicAgeBeforeRetraction,AcademicAgeBin,MAGFieldName,MAGRetractionYearAffRankStratified,NumRetentionW5,NumNewCollaboratorsW5,NumOpenTriads,NumTriadsClosed,NC,OriginalPaperYear,AltmetricScoreAtRetraction,DifferencePublicationAndRetractionYear,DifferencePublicationAndRetractionYearCategorical,AttentionCategorical
64b96759f879ef1dbe109cf51cb22f6342dc118877b88cbd70e9b9384b7bf652,cd40a98a273391874740967ae65741c8321df49325e1a9efc8d859e0dc157b78,1419a737b7719d8674d3b5e02772ddd2f25985772096583a4ab4ae72ed25c033,2008.0,861853513.0,151-200,2008.0,86803240.0,0.375,female,2006.0,861853513.0,151-200,7.0,2008.0,6.0,2008.0,22.0,2008.0,175.0,other,2006-2010,MAGMiddleAuthor,other retractor,2.0,2,biology,101-500,6,5,24,3,0.125,2008.0,0.0,0.0,0-1 year,low
ad62fc0b6017cf7431866808acb1eb5042c958ace6a960c22ebe773158166323,b0c1610968c9c7e3849286fd3edb490169069aece37471cde6483d06ad475765,a669f32973eddc1a320ee63d1c6dbde7ce3a1eddbe19a6b0250a55ae0e326501,2012.0,13955877.0,401-500,2012.0,86803240.0,0.3333333333333333,female,2007.0,13955877.0,401-500,3.0,2012.0,18.0,2012.0,16.0,2012.0,450.0,mistake,2011-2015,MAGMiddleAuthor,author,5.0,3-5,biology,101-500,4,10,4,1,0.25,2007.0,5.5,5.0,2-5 years,low
ad62fc0b6017cf7431866808acb1eb5042c958ace6a960c22ebe773158166323,b0c1610968c9c7e3849286fd3edb490169069aece37471cde6483d06ad475765,a669f32973eddc1a320ee63d1c6dbde7ce3a1eddbe19a6b0250a55ae0e326501,2012.0,13955877.0,401-500,2012.0,185592680.0,0.3333333333333333,female,2007.0,13955877.0,401-500,3.0,2012.0,18.0,2012.0,16.0,2012.0,450.0,mistake,2011-2015,MAGMiddleAuthor,author,5.0,3-5,chemistry,101-500,4,10,4,1,0.25,2007.0,5.5,5.0,2-5 years,low
7627b95fc850d258d45e8335aaa080d19ce7e596521540934f264e6e0b4945c0,6f2abca3552e765d5a8dfd8c5ded2aa22e53b86a7363f928000133e218360ea0,79397517a345fbc8bd987105b416e80bdef3f2a64ae95e8edaa52781e53e3a21,2015.0,126744593.0,201-300,2015.0,86803240.0,0.2972972972972973,male,2010.0,126744593.0,201-300,12.0,2015.0,183.0,2015.0,39.0,2015.0,250.0,misconduct,2011-2015,MAGMiddleAuthor,author,5.0,3-5,biology,101-500,5,19,1,0,0.0,2012.0,10.0,3.0,2-5 years,low
a14373d9e96d978bcb7da07827511a3c51e8296b42b94ccb434e2c14753781d7,8655b8b588b608415bede34f7c8f4c2167123f176b8dbad5b2214a4771b11024,100700ecb9d27e68107112a07f02c69dd1aceb5eefd21fbe44d2909a3f78ab8a,2014.0,158248296.0,501-600,2014.0,86803240.0,0.1969696969696969,male,2010.0,158248296.0,501-600,13.0,2014.0,40.0,2014.0,19.0,2014.0,550.0,plagiarism,2011-2015,MAGFirstOrLastAuthor,other retractor,4.0,3-5,biology,501-1000,4,12,130,0,0.0,2014.0,0.0,0.0,0-1 year,low
ddf6df697568a89aee7cfe7d55f4642465841567c6518172cbb50f6ecd8eb319,25be3226a4910c918499d4c2323946e2cdb0f90d64b4a1502655d7fb10ea706f,0bfb771e30865d9acb5bbe07708fdca65c793e7b9d4ae39875a577cc45930b09,2011.0,182212641.0,901-1000,2010.0,86803240.0,0.28,male,2001.0,182212641.0,901-1000,16.0,2010.0,123.0,2011.0,41.0,2010.0,950.0,mistake,2011-2015,MAGMiddleAuthor,other retractor,10.0,>5,biology,501-1000,15,28,329,3,0.0091185410334346,2010.0,10.0,1.0,0-1 year,low
a5498102bb09401e3084f58626c921d1a898c1bd6c9e81440e6ceb5aed75eafa,741691a4288cb2106cb95a401ffc2cff968274ac49c26c65b8e201263ca61df6,f2f0f56cb88f61886dfc5cfdeef7963313cc5ef97bd965cb31e0071df6582a3b,2007.0,201448701.0,14,2007.0,86803240.0,0.3333333333333333,male,2005.0,201448701.0,14,7.0,2007.0,19.0,2007.0,16.0,2007.0,14.0,mistake,2006-2010,MAGFirstOrLastAuthor,author,2.0,2,biology,1-100,8,79,74,0,0.0,2007.0,0.0,0.0,0-1 year,low
a5498102bb09401e3084f58626c921d1a898c1bd6c9e81440e6ceb5aed75eafa,741691a4288cb2106cb95a401ffc2cff968274ac49c26c65b8e201263ca61df6,f2f0f56cb88f61886dfc5cfdeef7963313cc5ef97bd965cb31e0071df6582a3b,2007.0,201448701.0,14,2007.0,185592680.0,0.3333333333333333,male,2005.0,201448701.0,14,7.0,2007.0,19.0,2007.0,16.0,2007.0,14.0,mistake,2006-2010,MAGFirstOrLastAuthor,author,2.0,2,chemistry,1-100,8,79,74,0,0.0,2007.0,0.0,0.0,0-1 year,low
4f1a1d5dde42e42f2b14e3a9a6e7f7112233a52db9f23d39180fc690e463eb32,8bc8ee934f48bc540aa8d07744e6bbff6d338f2246d40299701ae73af730c56e,ab3aa939da4d8f084f2fe86f8d0613c22e8eb961da4bc73dca28af63e31318d8,2012.0,66514158.0,701-800,2012.0,86803240.0,0.2,female,2011.0,66514158.0,701-800,3.0,2012.0,1.0,2012.0,17.0,2012.0,750.0,mistake,2011-2015,MAGFirstOrLastAuthor,other retractor,1.0,1,biology,501-1000,12,28,163,2,0.0122699386503067,2011.0,5.0,1.0,0-1 year,low
4f1a1d5dde42e42f2b14e3a9a6e7f7112233a52db9f23d39180fc690e463eb32,8bc8ee934f48bc540aa8d07744e6bbff6d338f2246d40299701ae73af730c56e,ab3aa939da4d8f084f2fe86f8d0613c22e8eb961da4bc73dca28af63e31318d8,2012.0,66514158.0,701-800,2012.0,71924100.0,0.2,female,2011.0,66514158.0,701-800,3.0,2012.0,1.0,2012.0,17.0,2012.0,750.0,mistake,2011-2015,MAGFirstOrLastAuthor,other retractor,1.0,1,medicine,501-1000,12,28,163,2,0.0122699386503067,2011.0,5.0,1.0,0-1 year,low
d8271d6c5e09ecc4b74de46f920b1d7a97af562e3e6a6a8f8a4e898e3f68ae3f,f223e280ef85fbe6e829172f11e0609ae7d4c4b912b8ab58e639fb7d602f4604,a0e019d41b944937e38a1448da2a4f584a9b392505c562654f215dfd35b5f78c,2012.0,82767444.0,801-900,2012.0,86803240.0,0.375,female,2008.0,82767444.0,801-900,6.0,2012.0,20.0,2012.0,10.0,2012.0,850.0,other,2011-2015,MAGMiddleAuthor,other retractor,4.0,3-5,biology,501-1000,7,1,4,0,0.0,2012.0,0.0,0.0,0-1 year,low
c5836fa6ca0bc27f244474f1bde4c98e1b1f21b2db0155c240293d9814c69b5b,40b2ddd4fee0a4778f262e809498e83d2b3345e6e104a2b2faa879e3f3be5884,02f1173c63181f95c7b43b69e0632d6ea93d9f9d948fca56ccd2c943721d6073,2012.0,19772626.0,201-300,2005.0,86803240.0,0.2857142857142857,male,2005.0,19772626.0,201-300,2.0,2007.0,60.0,2012.0,9.0,2007.0,250.0,misconduct,2011-2015,MAGMiddleAuthor,other retractor,7.0,>5,biology,101-500,1,3,262,0,0.0,2005.0,5.0,7.0,6 or more years,low
449ba04912b5ad584c74e3589d7a7e428cf0aba7ea8f1737e71367408684c6d0,7e99a7aa81b8d096ae5f315b96b9154693d80950da86d9eb4a698043b184b8e3,086ac1e60f15f63221a4f8af8f3b246772d5e7c97e0f9b033abdec90fe4c623e,2015.0,25399158.0,401-500,2014.0,86803240.0,0.4615384615384615,female,1999.0,25399158.0,401-500,18.0,2015.0,86.0,2015.0,56.0,2015.0,450.0,mistake,2011-2015,MAGMiddleAuthor,other retractor,16.0,>5,biology,101-500,8,1992,499,12,0.0240480961923847,2015.0,0.5,0.0,0-1 year,low
3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,f20e89d291fd8228281c7ead5ac738859716fdb6009652c154f72532f578ad28,95e6990749b2be87cc1eab0f939bab5a81d45f760214f89671dae4cc69a9f1e8,2012.0,53964585.0,101-150,2012.0,86803240.0,0.3333333333333333,female,2012.0,53964585.0,101-150,1.0,2012.0,1.0,2012.0,5.0,2012.0,125.0,misconduct,2011-2015,MAGMiddleAuthor,other retractor,0.0,1,biology,101-500,5,2,4,0,0.0,2012.0,0.0,0.0,0-1 year,low
3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,f20e89d291fd8228281c7ead5ac738859716fdb6009652c154f72532f578ad28,95e6990749b2be87cc1eab0f939bab5a81d45f760214f89671dae4cc69a9f1e8,2012.0,53964585.0,101-150,2012.0,185592680.0,0.3333333333333333,female,2012.0,53964585.0,101-150,1.0,2012.0,1.0,2012.0,5.0,2012.0,125.0,misconduct,2011-2015,MAGMiddleAuthor,other retractor,0.0,1,chemistry,101-500,5,2,4,0,0.0,2012.0,0.0,0.0,0-1 year,low
3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,f20e89d291fd8228281c7ead5ac738859716fdb6009652c154f72532f578ad28,95e6990749b2be87cc1eab0f939bab5a81d45f760214f89671dae4cc69a9f1e8,2012.0,53964585.0,101-150,2012.0,71924100.0,0.3333333333333333,female,2012.0,53964585.0,101-150,1.0,2012.0,1.0,2012.0,5.0,2012.0,125.0,misconduct,2011-2015,MAGMiddleAuthor,other retractor,0.0,1,medicine,101-500,5,2,4,0,0.0,2012.0,0.0,0.0,0-1 year,low
f0a4cd0d54d7e25559b8d7dfba06c93d584086bde5c4c3e6fc474f6ab5cd3626,74db88ac0f3b16183990f0dade5ab9a5d53c9faaaed7c6c497797327f3e944d4,35b19c99ff198ae882134e3ddca692ab8936ef8deb1aa34c049f632190f72a1e,2009.0,32389192.0,201-300,2009.0,86803240.0,0.5,male,2009.0,32389192.0,201-300,1.0,2009.0,2.0,2009.0,19.0,2009.0,250.0,mistake,2006-2010,MAGMiddleAuthor,author,0.0,1,biology,101-500,13,6,1222,0,0.0,2009.0,0.0,0.0,0-1 year,low
